,name,age,position1,position2,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating
180,Rodrigo Leeds,30, M(CLR), M(CLR),14(12),1291,2,1.2,21.5,76.9,0.1,1.0,0.2,6.67
181,Craig Dawson West Ham,31, D(CR),,22,1926,0,0.1,34.7,79.7,0,2.7,0,6.67
182,Charlie Taylor Burnley,28, D(L), D(L),28(1),2429,1,0.4,34.1,70.3,0.7,2.1,0,6.67
183,Isaac Hayden Newcastle,26, D(C), D(C),22(2),1946,0,0.3,32.8,80.7,0.1,1.2,0,6.67
184,Gylfi Sigurdsson Everton,32, M(CLR), M(CLR),24(12),2256,5,1.2,23.7,85.0,0.8,0.7,0,6.67
185,Danny Welbeck Brighton,31, AM(CLR), AM(CLR),17(7),1547,1,0.9,10.8,81.0,0,0.1,0,6.66
186,Jacob Murphy Newcastle,26, D(R), D(R),17(9),1621,3,0.7,17.6,70.5,0.6,0.8,0,6.66
187,Eric Dier Tottenham,27, D(CR), D(CR),28,2520,0,0.2,63.9,83.2,0,4.0,0,6.66
188,Harrison Reed Fulham,26, D(R), D(R),26(5),2251,2,0.7,47.6,86.2,0.2,1.5,0,6.66
189,Miguel Almirón Newcastle,27, AM(CLR), AM(CLR),28(6),2438,1,0.9,25.0,82.0,0.2,1.0,0.1,6.66
190,Willian Arsenal,33, AM(CLR),,16(9),1407,5,1.3,27.1,87.5,1.1,1.4,0,6.65
191,Séamus Coleman Everton,33, D(CR), D(CR),18(7),1612,3,0.8,25.8,82.9,0.4,1.3,0,6.65
192,Leander Dendoncker Wolves,26, D(C), D(C),28(5),2501,0,0.5,36.5,85.5,0.1,1.3,0,6.65
193,Jeffrey Schlupp Crystal Palace,28, D(L), D(L),15(12),1426,3,0.7,14.8,73.9,0.2,0.4,0,6.65
194,Jordan Pickford Everton,27, GK,,31,2743,0,0,32.2,61.8,0,8.5,0,6.65
195,Ciaran Clark Newcastle,32, D(CL),,21(1),1893,0,0.1,35.9,81.5,0,1.8,0,6.64
196,Federico Fernández Newcastle,32, D(C),,24,2083,0,0.3,34.8,80.7,0.1,2.3,0,6.64
197,Mason Holgate Everton,25, D(CR), D(CR),26(2),2290,0,0.3,39.4,79.1,0.2,3.1,0,6.63
198,Conor Gallagher West Brom,21, AM(C),,28(2),2532,2,0.7,29.7,81.5,0.4,1.6,0,6.63
199,Ashley Westwood Burnley,31, DMC,,38,3411,3,1.4,53.8,78.7,1.2,4.2,0,6.63
200,Lucas Moura Tottenham,29, AM(CLR), AM(CLR),14(16),1403,4,0.5,19.0,75.2,0.2,0.2,0,6.63
201,Ola Aina Fulham,25, D(CLR), D(CLR),31,2671,1,0.5,47.2,78.9,0.3,2.1,0,6.63
202,Lukasz Fabianski West Ham,36, GK,,35,3150,0,0,24.5,54.9,0,7.5,0,6.62
203,Darnell Furlong West Brom,26, D(CR), D(CR),32(3),2932,3,0.5,23.3,59.4,0.5,1.2,0,6.62
204,Georginio Wijnaldum Liverpool,31, M(CLR),,34(4),2947,0,0.6,46.2,92.7,0,1.2,0,6.62
205,Ezgjan Alioski Leeds,29, D(L), D(L),29(7),2466,3,0.8,38.3,79.5,0.4,0.8,0,6.62
206,Ederson Man City,28, GK,,36,3240,1,0,26.6,81.2,0,4.4,0,6.61
207,Kai Havertz Chelsea,22, M(CR), M(CR),18(9),1522,3,0.7,28.4,84.9,0,0.4,0,6.6
208,Benjamin White Brighton,24, D(C), D(C),36,3195,0,0.2,48.5,83.2,0,2.3,0,6.6
209,Ayoze Pérez Leicester,28, AM(CLR), AM(CLR),15(10),1333,1,0.9,18.8,76.8,0.3,0.2,0,6.6
210,Jamaal Lascelles Newcastle,28, D(C),,19,1628,0,0.2,32.7,80.2,0,2.2,0,6.6
211,Mario Lemina Fulham,28, DMC,,19(9),1705,0,0.4,31.7,83.5,0,1.7,0,6.6
212,Robert Sánchez Brighton,24, GK,,27,2430,0,0,36.4,70.9,0,6.9,0,6.59
213,Saïd Benrahma West Ham,26, AM(CLR),,14(16),1392,6,0.9,16.1,82.0,0.3,0.3,0,6.59
214,John Egan Sheff Utd,29, D(C),,30(1),2630,1,0.1,36.2,81.7,0,3.0,0,6.58
215,Curtis Jones Liverpool,20, M(C),,13(11),1178,2,0.5,40.3,92.2,0,0.9,0,6.58
216,Nemanja Matic Man Utd,33, DMC,,12(8),1102,0,0.4,50.8,90.3,0.1,2.7,0,6.58
217,Neal Maupay Brighton,25, AM(C), AM(C),29(4),2519,2,1,19.7,78.5,0.2,0.4,0.1,6.57
218,Gary Cahill Crystal Palace,36, D(C),,20,1800,1,0.4,37.3,82.4,0,2.4,0,6.57
219,Cheikhou Kouyaté Crystal Palace,31, D(CR), D(CR),35(1),3123,0,0.2,35.5,77.2,0,2.5,0,6.57
220,Theo Walcott Southampton,32, M(CLR), M(CLR),20(1),1629,3,0.8,19.0,74.4,0.2,0.3,0,6.56
221,Ben Davies Tottenham,28, D(CL), D(CL),14(6),1340,1,0.4,32.3,79.2,0.3,1.1,0,6.56
222,Édouard Mendy Chelsea,29, GK,,31,2746,0,0,29.0,83.3,0,3.5,0,6.56
