,Player,Team,Apps,Min,G,A,xGChain,xGBuildup,xG90,xA90,xG90 + xA90
43,Jay Rodriguez,West Bromwich Albion,37.0,2845.0,7,1,8.15,1.56,0.24,0.06,0.3
44,Charlie Austin,Southampton,24.0,1023.0,7,0,6.52,1.21,0.68,0.06,0.74
45,Marcos Alonso,Chelsea,33.0,2869.0,7,2,12.99,8.15,0.14,0.1,0.23
46,Abdoulaye Doucouré,Watford,37.0,3326.0,7,3,11.49,7.35,0.08,0.06,0.15
47,Steve Mounie,Huddersfield,28.0,1850.0,7,1,7.0,1.81,0.28,0.08,0.36
48,Willian,Chelsea,36.0,1872.0,6,7,12.89,5.1,0.29,0.3,0.58
49,Dwight Gayle,Newcastle United,35.0,1968.0,6,3,11.07,1.84,0.44,0.11,0.55
50,Shinji Okazaki,Leicester,27.0,1340.0,6,2,8.06,1.11,0.5,0.12,0.63
51,Dusan Tadic,Southampton,36.0,2854.0,6,3,14.32,4.34,0.18,0.19,0.37
52,Mame Biram Diouf,Stoke,35.0,2609.0,6,2,8.71,1.54,0.26,0.07,0.33
53,Paul Pogba,Manchester United,27.0,2158.0,6,10,16.82,8.21,0.33,0.19,0.52
54,Bernardo Silva,Manchester City,35.0,1500.0,6,4,15.46,9.75,0.27,0.18,0.46
55,Laurent Depoitre,Huddersfield,33.0,1794.0,6,1,4.53,1.01,0.18,0.07,0.25
56,Eric Maxim Choupo-Moting,Stoke,30.0,2257.0,5,5,9.28,2.2,0.25,0.13,0.38
57,Junior Stanislas,Bournemouth,19.0,1313.0,5,2,5.26,1.89,0.26,0.13,0.39
58,Nacho Monreal,Arsenal,28.0,2246.0,5,2,10.21,8.55,0.08,0.12,0.2
59,Danny Welbeck,Arsenal,28.0,1169.0,5,2,8.68,2.56,0.44,0.11,0.55
60,Manuel Lanzini,West Ham,27.0,2054.0,5,6,9.27,5.12,0.17,0.16,0.33
61,Troy Deeney,Watford,29.0,1832.0,5,2,7.17,2.77,0.35,0.12,0.47
62,Fernandinho,Manchester City,34.0,2890.0,5,3,25.39,22.24,0.08,0.09,0.17
63,James McArthur,Crystal Palace,33.0,2440.0,5,1,10.53,6.22,0.16,0.08,0.23
64,Tammy Abraham,Swansea,31.0,1706.0,5,1,7.57,1.3,0.32,0.08,0.4
65,Patrick van Aanholt,Crystal Palace,28.0,2184.0,5,1,7.43,4.1,0.14,0.1,0.24
66,Peter Crouch,Stoke,31.0,1532.0,5,2,7.29,1.31,0.25,0.18,0.43
67,Manolo Gabbiadini,Southampton,28.0,1056.0,5,0,3.04,1.45,0.21,0.05,0.26
68,Andre Gray,Watford,31.0,1486.0,5,2,10.14,1.73,0.42,0.14,0.56
69,Ryan Fraser,Bournemouth,26.0,2016.0,5,3,6.39,3.34,0.09,0.12,0.21
70,Roberto Pereyra,Watford,32.0,1618.0,5,2,7.72,2.89,0.22,0.15,0.37
71,Richarlison,Watford,38.0,2832.0,5,4,14.73,2.52,0.34,0.12,0.46
72,José Izquierdo,Brighton,32.0,1998.0,5,3,7.21,3.13,0.16,0.1,0.27
73,Cenk Tosun,Everton,14.0,998.0,5,0,5.56,1.14,0.29,0.16,0.44
74,Ilkay Gündogan,Manchester City,30.0,1504.0,4,1,14.07,10.72,0.21,0.14,0.36
75,Mesut Özil,Arsenal,26.0,2166.0,4,8,21.61,14.73,0.18,0.38,0.56
76,Mark Noble,West Ham,29.0,2411.0,4,0,6.65,4.33,0.09,0.07,0.15
77,Nicolás Otamendi,Manchester City,34.0,2975.0,4,0,19.02,17.8,0.1,0.04,0.13
78,Chris Smalling,Manchester United,29.0,2533.0,4,0,5.59,5.35,0.08,0.01,0.08
79,Marouane Fellaini,Manchester United,16.0,601.0,4,0,3.96,2.37,0.41,0.02,0.43
80,Pedro,Chelsea,31.0,1523.0,4,2,6.59,2.56,0.21,0.1,0.31
81,Gylfi Sigurdsson,Everton,27.0,2265.0,4,3,8.55,3.43,0.13,0.15,0.28
82,Jermain Defoe,Bournemouth,24.0,1074.0,4,1,4.46,0.25,0.38,0.09,0.47
83,Joselu,Newcastle United,30.0,1730.0,4,1,7.89,2.68,0.33,0.07,0.4
84,Sam Vokes,Burnley,29.0,953.0,4,1,2.2,0.08,0.28,0.11,0.39
85,Dominic Calvert-Lewin,Everton,32.0,1861.0,4,6,9.52,3.41,0.26,0.15,0.41
86,Aaron Mooy,Huddersfield,36.0,3077.0,4,3,7.7,4.62,0.08,0.12,0.21
87,Henrikh Mkhitaryan,"Arsenal, Manchester United",26.0,1735.0,3,9,14.4,7.17,0.13,0.35,0.48
88,Matt Ritchie,Newcastle United,35.0,2822.0,3,5,10.31,5.67,0.1,0.21,0.31
89,Alex Iwobi,Arsenal,26.0,1873.0,3,5,17.15,11.72,0.2,0.17,0.37
90,Theo Walcott,"Arsenal, Everton",20.0,1207.0,3,3,6.35,2.44,0.24,0.23,0.46
91,Bakary Sako,Crystal Palace,16.0,446.0,3,0,2.39,0.5,0.46,0.16,0.61
92,James Tomkins,Crystal Palace,28.0,2386.0,3,0,2.04,1.99,0.1,0.0,0.1
93,Michail Antonio,West Ham,21.0,1347.0,3,1,3.46,1.15,0.13,0.06,0.2
94,Andy Carroll,West Ham,16.0,739.0,3,0,3.69,2.3,0.19,0.06,0.26
